Année,Code INSEE région,Filière,Région,Part de la consommation nationale couverte (%),part_peryear_normalized,year_prodGWh,filiere_prodGWh
2019,94,Bioenergy,Corse,0,0,526537,0
2019,44,Bioenergy,Grand Est,0.2,0.001760563,526537,927.0017606
2019,44,Non-renewablee,Grand Est,2,0.017605634,526537,9270.017606
2019,44,Hydro,Grand Est,1.8,0.01584507,526537,8343.015845
2019,44,Wind,Grand Est,1.6,0.014084507,526537,7416.014085
2019,44,Nuclear,Grand Est,16.2,0.142605634,526537,75087.14261
2019,44,Solar,Grand Est,0.2,0.001760563,526537,927.0017606
2019,32,Bioenergy,Hauts-de-France,0.2,0.001760563,526537,927.0017606
2019,32,Wind,Hauts-de-France,1.9,0.016725352,526537,8806.516725
2019,32,Non-renewablee,Hauts-de-France,2.1,0.018485915,526537,9733.518486
2019,32,Solar,Hauts-de-France,0,0,526537,0
2019,32,Hydro,Hauts-de-France,0,0,526537,0
2019,32,Nuclear,Hauts-de-France,6.8,0.059859155,526537,31518.05986
2019,11,Non-renewablee,Île-de-France,0.4,0.003521127,526537,1854.003521
2019,11,Bioenergy,Île-de-France,0.2,0.001760563,526537,927.0017606
2019,11,Wind,Île-de-France,0,0,526537,0
2019,11,Solar,Île-de-France,0,0,526537,0
2019,11,Hydro,Île-de-France,0,0,526537,0
2019,11,Nuclear,Île-de-France,0,0,526537,0
2019,28,Hydro,Normandie,0,0,526537,0
2019,28,Solar,Normandie,0,0,526537,0
2019,28,Non-renewablee,Normandie,0.7,0.006161972,526537,3244.506162
2019,28,Bioenergy,Normandie,0.1,0.000880282,526537,463.5008803
2019,28,Wind,Normandie,0.4,0.003521127,526537,1854.003521
2019,28,Nuclear,Normandie,10.4,0.091549296,526537,48204.09155
2019,75,Hydro,Nouvelle-Aquitaine,0.8,0.007042254,526537,3708.007042
2019,75,Bioenergy,Nouvelle-Aquitaine,0.3,0.002640845,526537,1390.502641
2019,75,Non-renewablee,Nouvelle-Aquitaine,0.2,0.001760563,526537,927.0017606
2019,75,Solar,Nouvelle-Aquitaine,0.7,0.006161972,526537,3244.506162
2019,75,Wind,Nouvelle-Aquitaine,0.4,0.003521127,526537,1854.003521
2019,75,Nuclear,Nouvelle-Aquitaine,10,0.088028169,526537,46350.08803
2019,76,Wind,Occitanie,0.8,0.007042254,526537,3708.007042
2019,76,Hydro,Occitanie,2.1,0.018485915,526537,9733.518486
2019,76,Non-renewablee,Occitanie,0.1,0.000880282,526537,463.5008803
2019,76,Bioenergy,Occitanie,0.2,0.001760563,526537,927.0017606
2019,76,Nuclear,Occitanie,3.6,0.031690141,526537,16686.03169
2019,76,Solar,Occitanie,0.5,0.004401408,526537,2317.504401
2019,52,Wind,Pays de la Loire,0.4,0.003521127,526537,1854.003521
